id,name,country_id,full_date,year,month,day,wgs_long,wgs_lat,championship_type,is_championship
100Merito2018,100º Mérito 2018,Brazil,2018-04-14,2018,4,14,-54.712597,-2.422498,,0
100YearsRepublicAnkara2023,100 Years Republic Ankara 2023,Turkey,2023-10-28,2023,10,28,32.766238,39.964026,,0
100YearsRepublicIstanbul2023,100 Years Republic İstanbul 2023,Turkey,2023-10-28,2023,10,28,29.142873,41.016582,,0
100YilMBACubeWeekend2023,100. Yıl MBA Cube Weekend 2023,Turkey,2023-12-16,2023,12,16,29.074717,41.012107,,0
10AniversarioGuatemala2023,Décimo Aniversario Guatemala 2023,Guatemala,2023-10-14,2023,10,14,-90.525865,14.573384,,0
10doRioGrandedoNorte2018,10º do Rio Grande do Norte 2018,Brazil,2018-12-15,2018,12,15,-35.816234,-5.536382,,0
10JohrWilerWurfelfast2024,10 Johr Wiler Würfelfäst 2024,Switzerland,2024-03-24,2024,3,24,9.041582,47.463297,,0
10thAnniversaryCervantes2024,10th Anniversary Cervantes 2024,Uruguay,2024-09-14,2024,9,14,-56.145318,-34.895304,,0
12SidesofSilesia2018,12 Sides of Silesia 2018,Poland,2018-03-03,2018,3,3,19.179497,50.324482,,0
150thCubeMeetinginBrest2017,150th Cube Meeting in Brest 2017,Belarus,2017-07-22,2017,7,22,23.741572,52.082331,,0
15AnosSanSilvestre2024,15 Años San Silvestre 2024,Colombia,2024-07-07,2024,7,7,-73.857894,7.067333,,0
1aLordagskubeniVasteras2024,1:a Lördagskuben i Västerås 2024,Sweden,2024-02-03,2024,2,3,16.584644,59.607616,,0
1AVG2013,1 AVG competition 2013,Netherlands,2013-04-01,2013,4,1,4.356539,52.01074,,0
1BodyCubing2017,1 Body Cubing 2017,USA,2017-06-03,2017,6,3,-104.592919,38.293909,,0
1stBarpetaCubeOpen2024,1st Barpeta Cube Open 2024,India,2024-02-04,2024,2,4,90.986591,26.413398,,0
1stDibrugarhOpen2018,1st Dibrugarh Open 2018,India,2018-11-10,2018,11,10,94.890372,27.451715,,0
1stJorhatOpen2019,1st Jorhat Open 2019,India,2019-09-14,2019,9,14,94.249915,26.745562,,0
1stSalemOpen2022,1st Salem Open 2022,India,2022-06-26,2022,6,26,78.064693,11.692463,,0
1stSriLankanOpen2022,1st Sri Lankan Open 2022,Sri Lanka,2022-04-02,2022,4,2,79.934466,6.879843,,0
200Peru2024,200 Perú 2024,Peru,2024-07-13,2024,7,13,-71.532499,-16.400538,,0
24HorasElTambo2024,24 Horas El Tambo 2024,Ecuador,2024-10-12,2024,10,12,-78.927687,-2.511812,,0
24HorasemSalvador2024,24 Horas em Salvador 2024,Brazil,2024-06-08,2024,6,8,-38.338084,-12.943067,,0
24HoursinAker2024,24 Hours in Åker 2024,Sweden,2024-07-06,2024,7,6,17.097545,59.253315,,0
24HoursinFlen2023,24 Hours in Flen 2023,Sweden,2023-07-22,2023,7,22,16.571369,59.05592,,0
24HoursWarmUpinAstana2024,24 Hours Warm Up in Astana 2024,Kazakhstan,2024-10-19,2024,10,19,71.460957,51.181817,,0
2aLordagskubeniVasteras2024,2:a Lördagskuben i Västerås 2024,Sweden,2024-03-23,2024,3,23,16.584644,59.607616,,0
2AVG2014,2 AVG competition 2014,Netherlands,2014-02-02,2014,2,2,4.356539,52.01074,,0
2FeetofSnowinMontreal2019,2 Feet of Snow in Montreal 2019,Canada,2019-12-22,2019,12,22,-73.553101,45.518991,,0
2FTISanDiego2016,2FTI San Diego 2016,USA,2016-12-10,2016,12,10,-117.235894,32.879713,,0
2ndGuwahatiOpen2016,2nd Guwahati Open 2016,India,2016-05-21,2016,5,21,91.748125,26.188922,,0
2ndJogjaMiniCompetition2015,2nd Jogja Mini Competition 2015,Indonesia,2015-11-29,2015,11,29,110.402686,-7.785516,,0
2ndNegrosSpeedcubingOpen2017,2nd Negros Speedcubing Open 2017,Philippines,2017-06-10,2017,6,10,122.944471,10.672589,,0
2RoundsofFMCinRzeszow2023,2 Rounds of FMC in Rzeszów 2023,Poland,2023-11-10,2023,11,10,22.053605,50.038998,,0
2x2at2inPrague2024,2x2 at 2 in Prague 2024,Czech Republic,2024-08-31,2024,8,31,14.48182,50.094509,,0
2x2CubeMastersBogota2023,2x2 Cube Masters Bogotá 2023,Colombia,2023-11-26,2023,11,26,-74.157221,4.601995,,0
2x2inaMadisonLodge2022,2x2 in a Madison Lodge 2022,USA,2022-12-03,2022,12,3,-89.386762,43.077407,,0
2x2inTamakiMakaurau2025,2x2 in Tāmaki Makaurau 2025,New Zealand,2025-08-16,2025,8,16,174.751147,-36.853159,,0
30thAnniversaryMegaHouse2010,30th Anniversary MegaHouse Cup 2010,Japan,2010-07-24,2010,7,24,139.691706,35.689487,,0
333OnlyHamiltonA2022,3x3x3 Only Hamilton A 2022,Canada,2022-05-29,2022,5,29,-79.920286,43.262244,,0
333OnlyHamiltonB2022,3x3x3 Only Hamilton B 2022,Canada,2022-05-29,2022,5,29,-79.920286,43.262244,,0
