result_count,comp_country,comp_iso,person_country,person_iso
8603,Belgium,BE,Netherlands,NL
6483,Spain,ES,France,FR
5507,Switzerland,CH,Germany,DE
5274,Netherlands,NL,Germany,DE
5246,Belgium,BE,France,FR
5234,Germany,DE,France,FR
5229,Other European countries,SK,Hungary,HU
5137,Switzerland,CH,Other European countries,IT
5118,Germany,DE,Netherlands,NL
4744,Germany,DE,Switzerland,CH
4604,Other European countries,DK,Other European countries,SE
4541,France,FR,Germany,DE
4456,Belgium,BE,Germany,DE
4289,United Kingdom,GB,Other European countries,IE
4204,Other European countries,IE,United Kingdom,GB
4063,Netherlands,NL,Belgium,BE
4054,Spain,ES,Germany,DE
4012,Other European countries,SK,Czech Republic,CZ
3815,Other European countries,SE,Other European countries,DK
3742,Czech Republic,CZ,Hungary,HU
3666,Czech Republic,CZ,Poland,PL
3533,Czech Republic,CZ,Other European countries,SK
3438,Switzerland,CH,France,FR
3437,Other European countries,DK,Germany,DE
3376,Poland,PL,Other European countries,UA
3371,Other European countries,SE,Other European countries,NO
3308,Germany,DE,Other European countries,AT
3174,Other European countries,HR,Other European countries,SI
3135,France,FR,Belgium,BE
3078,Other European countries,BY,Other European countries,RU
2884,Spain,ES,Poland,PL
2882,Other European countries,AT,Hungary,HU
2852,Other European countries,DK,United Kingdom,GB
2760,Other European countries,SI,Other European countries,HR
2724,United Kingdom,GB,Germany,DE
2697,Other European countries,EE,Other European countries,LV
2656,France,FR,Switzerland,CH
2653,Other European countries,HR,Hungary,HU
2606,Other European countries,SI,Hungary,HU
2597,United Kingdom,GB,Poland,PL
2471,Poland,PL,Czech Republic,CZ
2439,Other European countries,NO,Other European countries,SE
2431,Other European countries,LT,Other European countries,LV
2363,France,FR,Spain,ES
2177,Germany,DE,Czech Republic,CZ
2176,Spain,ES,Netherlands,NL
2090,Spain,ES,United Kingdom,GB
2086,Czech Republic,CZ,Germany,DE
2013,Other European countries,RU,Other European countries,UA
1907,Other European countries,EE,Other European countries,FI
1839,Germany,DE,Other European countries,UA
1837,Other European countries,IT,France,FR
1830,Germany,DE,Hungary,HU
1810,Other European countries,AD,Spain,ES
1796,Spain,ES,Other European countries,IT
1747,Spain,ES,Other European countries,PT
1711,Other European countries,SK,Other European countries,AT
1624,Other European countries,LV,Other European countries,LT
1616,Other European countries,IT,Switzerland,CH
1615,Germany,DE,Poland,PL
1613,United Kingdom,GB,France,FR
1563,Other European countries,SI,Other European countries,AT
1560,Other European countries,IT,Other European countries,RO
1552,Spain,ES,Other European countries,UA
1528,Switzerland,CH,United Kingdom,GB
1510,Poland,PL,Hungary,HU
1507,Germany,DE,Other European countries,RU
1503,Other European countries,SE,Germany,DE
1490,Other European countries,RU,Other European countries,BY
1434,Hungary,HU,Other European countries,SI
1425,Other European countries,AT,Germany,DE
1417,Germany,DE,Belgium,BE
1362,Switzerland,CH,Other European countries,RU
1346,Other European countries,SE,United Kingdom,GB
1311,Czech Republic,CZ,Other European countries,AT
1305,Other European countries,UA,Other European countries,RU
1300,Other European countries,SM,Other European countries,IT
1277,Spain,ES,Other European countries,RU
1266,Other European countries,SE,Other European countries,FI
1260,Other European countries,DK,France,FR
1255,France,FR,Netherlands,NL
1253,France,FR,United Kingdom,GB
1243,Switzerland,CH,Other European countries,AT
